what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1503921702107
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1503921702107
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1503921702107
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1503921702107
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1503921702107
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1503921702107
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1503921702107
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1503921702107
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1503921702107
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1503921702107
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1503921702107
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1503921702107
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1503921702107
os,sysinfo,,,"win32",1503921702107
arch,sysinfo,,,"x86_64",1503921702107
ws,sysinfo,,,"win32",1503921702107
locale,sysinfo,,,"zh_CN",1503921702107
processors,sysinfo,,,"4",1503921702107
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1503921702107
java.runtime.version,sysinfo,,,"1.8.0_141-b15",1503921702107
java.specification.name,sysinfo,,,"Java Platform API Specification",1503921702107
java.specification.vendor,sysinfo,,,"Oracle Corporation",1503921702107
java.specification.version,sysinfo,,,"1.8",1503921702107
java.vendor,sysinfo,,,"Oracle Corporation",1503921702107
java.version,sysinfo,,,"1.8.0_141",1503921702107
java.vm.info,sysinfo,,,"mixed mode",1503921702107
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1503921702107
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1503921702107
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1503921702107
java.vm.specification.version,sysinfo,,,"1.8",1503921702107
java.vm.vendor,sysinfo,,,"Oracle Corporation",1503921702107
java.vm.version,sysinfo,,,"25.141-b15",1503921702107
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1503921704154
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1503921704576
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1503921707842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1503921712482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503921713889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503921746217
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1503921748374
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1503921748420
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1503921748420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1503921752342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503921754014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503921760764
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1503921763311
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1503921763327
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1503921763436
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1503921763546
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1503921766889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1503921770108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503921771358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503921785999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503921789735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503921790579
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503921790782
